"","Otu0001","Otu0003","Otu0005","Otu0006","Otu0009","Otu0010","Otu0012","Otu0015","Otu0016","Otu0017","Otu0018","Otu0020","Otu0021","Otu0022","Otu0023","Otu0025","Otu0026","Otu0027","Otu0028","Otu0029","Otu0030","Otu0031","Otu0032","Otu0033","Otu0034","Otu0035","Otu0036","Otu0037","Otu0038","Otu0039","Otu0040","Otu0041","Otu0042","Otu0043","Otu0044","Otu0046","Otu0047","Otu0050","Otu0051","Otu0052","Otu0054","Otu0057","Otu0061","Otu0062","Otu0066","Otu0068","Otu0069","Otu0070","Otu0072","Otu0073","Otu0075","Otu0077","Otu0078","Otu0085","Otu0088","Otu0089","Otu0091","Otu0099","Otu0103","Otu0104","Otu0105","Otu0106","Otu0108","Otu0118","Otu0119","Otu0122","Otu0128","Otu0132","Otu0139","Otu0141","Otu0142","Otu0143","Otu0153","Otu0156","Otu0163","Otu0171","Otu0182","Otu0199","Otu0212","Otu0215","Otu0233"
"MIC_036_HMP",343,507,57,45,1,16,13,9,0,17,7,1,0,2,19,3,2,0,5,0,4,37,0,0,2,0,14,22,0,0,5,0,0,7,0,0,0,0,7,0,6,0,10,0,0,1,0,0,0,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"MIC_037_HMP",27,151,41,18,17,10,14,2,0,4,0,8,0,4,1,0,1,0,1,0,1,0,3,0,1,0,1,2,4,0,1,0,5,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"MIC_039_HMP",1837,20,1414,381,278,16,260,384,0,158,122,689,0,52,147,2,4,0,35,0,0,2,78,0,128,0,0,97,19,0,7,0,55,33,0,0,0,0,2,0,71,0,8,0,0,18,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"MIC_040_HMP",3290,29,784,2219,2,23,52,223,0,152,694,73,0,160,295,2,2,0,142,0,3,1,398,0,116,0,1,191,24,0,6,0,8,34,0,0,0,0,1,0,20,0,0,0,0,3,0,6,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"MIC_043_HMP",1540,130,746,309,0,108,0,262,0,0,131,2,0,1,0,10,16,0,1,0,148,11,0,0,0,0,40,0,19,0,0,0,0,0,0,0,0,0,8,0,26,0,0,0,0,0,0,37,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0
"MIC_044_HMP",760,1,0,0,0,2,0,0,0,0,0,0,0,1,0,19,44,0,0,0,1,63,1,0,0,0,31,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"MIC_045_HMP",2928,0,1129,1,0,1,0,115,0,2,1,1,0,1,0,39,69,0,1,0,0,0,2,0,0,0,187,0,66,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"MIC_049_HMP",407,11,126,251,70,9,23,36,0,53,35,45,0,29,43,0,1,0,12,0,0,7,3,0,19,0,1,19,11,0,2,0,17,7,0,0,0,0,0,0,4,0,0,0,0,14,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIC_058_HMP",501,103,141,106,1,51,12,15,0,23,14,56,0,25,0,0,0,0,6,0,6,13,0,0,4,0,3,12,7,0,13,0,8,45,0,0,0,0,3,0,11,0,0,0,0,12,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIC_063_HMP",112,850,1,5,0,72,0,0,0,0,2,0,0,0,0,6,3,0,0,0,0,19,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
"MIC_066_HMP",1034,6943,210,107,12,448,7,29,0,7,21,2,0,22,16,26,20,0,0,0,10,9,5,0,0,0,1,9,8,0,23,0,1,1,0,0,0,0,26,0,2,0,4,0,0,2,0,0,0,0,48,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0
"MIC_067_HMP",28,789,23,0,0,55,8,1,0,0,0,1,0,0,1,27,60,0,0,0,2,2,1,0,0,0,0,0,24,0,2,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"MIC_016_HMP",523,121,98,66,11,113,22,23,27,16,20,18,7,10,9,5,17,98,3,178,84,5,1,10,6,17,7,4,7,2,35,0,3,38,1,0,3,0,7,28,1,6,19,4,5,7,0,10,3,2,20,6,12,4,5,1,1,1,9,2,3,2,1,0,6,1,0,2,0,0,0,2,0,0,2,5,0,4,1,0,0
"MIC_021_HMP",679,5,6,0,0,0,1,2,0,0,0,0,0,0,0,45,7,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,16,0,0,0,0,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"MIC_024_HMP",1334,90,1180,57,28,65,17,222,26,43,20,0,19,22,5,0,1,0,43,2,0,1,0,8,17,6,2,28,7,14,0,1,14,19,4,0,11,21,0,27,27,16,2,3,7,11,2,17,128,23,2,1,1,26,14,4,4,0,0,1,6,0,0,7,1,23,10,1,0,1,0,3,1,1,1,1,0,1,0,1,0
"MIC_030_HMP",1766,78,350,76,455,44,92,66,104,234,29,477,94,410,21,2,0,102,245,0,7,16,1,65,183,71,0,13,14,49,4,1,27,24,4,0,0,1,6,1,3,77,5,35,25,9,58,14,2,3,0,1,5,1,3,11,48,50,40,13,1,1,10,4,28,0,10,4,29,1,0,0,34,9,6,6,0,0,7,0,3
"MIC_031_HMP",3238,50,1132,539,689,42,128,212,427,404,172,14,379,273,14,1,4,3,315,1,2,1,20,57,247,53,1,49,69,339,6,22,99,194,11,0,249,19,0,214,40,88,2,18,218,202,56,4,4,287,1,0,0,208,8,15,9,3,1,17,53,3,1,64,7,0,4,35,18,26,0,35,5,3,4,30,0,20,14,1,2
"MIC_042_HMP",1643,0,74,333,0,12,76,8,0,35,126,0,26,257,24,54,89,0,1,0,0,26,124,0,28,0,15,17,0,0,0,0,0,1,36,0,0,0,13,1,0,0,1,0,0,0,0,3,22,0,0,31,12,0,0,0,0,0,0,0,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
"MIC_053_HMP",441,70,299,170,330,31,142,56,226,73,30,17,73,10,14,1,0,2,40,7,3,10,13,110,49,0,2,15,25,42,5,63,77,11,3,0,24,4,3,0,11,9,1,30,3,3,22,1,1,0,0,8,1,1,2,7,16,9,4,13,7,1,9,1,5,4,1,1,3,8,0,1,1,3,2,0,0,1,2,2,1
"MIC_054_HMP",1810,103,1535,449,1097,81,925,222,731,557,57,44,448,32,56,5,8,3,113,64,25,99,26,339,123,21,46,158,224,154,36,307,260,32,37,0,69,10,12,14,46,38,10,81,4,15,82,2,0,0,13,30,10,4,32,56,35,32,4,65,16,4,22,5,24,12,3,0,10,35,0,14,8,16,17,1,0,5,3,5,5
"MIC_057_HMP",74,0,28,3,2,0,0,15,0,1,4,0,0,0,0,4,2,0,2,0,0,1,0,0,2,0,3,8,0,0,0,0,0,1,2,0,0,0,2,1,0,1,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
